,City/Community,Cases,Case Rate,Adjusted Case Rate,Deaths,Death Rate,Adjusted Death Rate,Population,timestamp
31,City of Hawthorne,1856,2090,2071,42,47,54,88787,2020-09-08 01:36:39.618582
32,City of Hermosa Beach,198,1007,974,4,20,27,19670,2020-09-08 01:36:39.618582
33,City of Hidden Hills,6,317,160,0,0,0,1890,2020-09-08 01:36:39.618582
34,City of Huntington Park,2706,4549,4523,48,81,105,59484,2020-09-08 01:36:39.618582
35,City of Industry,36,8238,8236,2,458,556,437,2020-09-08 01:36:39.618582
36,City of Inglewood,2708,2384,2355,85,75,80,113582,2020-09-08 01:36:39.618582
37,City of Irwindale,67,4592,4590,2,137,155,1459,2020-09-08 01:36:39.618582
38,City of La Canada Flintridge,171,826,963,7,34,21,20693,2020-09-08 01:36:39.618582
39,City of La Habra Heights,39,715,681,0,0,0,5455,2020-09-08 01:36:39.618582
40,City of La Mirada,797,1607,1540,26,52,36,49599,2020-09-08 01:36:39.618582
41,City of La Puente,1419,3487,3409,17,42,42,40697,2020-09-08 01:36:39.618582
42,City of La Verne,426,1280,1339,10,30,16,33282,2020-09-08 01:36:39.618582
43,City of Lakewood,1187,1477,1482,12,15,12,80362,2020-09-08 01:36:39.618582
44,City of Lancaster,3034,1878,1901,43,27,33,161570,2020-09-08 01:36:39.618582
45,City of Lawndale,590,1755,1702,10,30,39,33614,2020-09-08 01:36:39.618582
46,City of Lomita,232,1119,1086,9,43,30,20729,2020-09-08 01:36:39.618582
47,City of Lynwood,3066,4256,4369,92,128,199,72047,2020-09-08 01:36:39.618582
48,City of Malibu,100,772,784,3,23,11,12961,2020-09-08 01:36:39.618582
49,City of Manhattan Beach,330,917,912,5,14,13,35999,2020-09-08 01:36:39.618582
50,City of Maywood,1359,4845,5029,32,114,172,28049,2020-09-08 01:36:39.618582
51,City of Monrovia,708,1825,1820,37,95,91,38800,2020-09-08 01:36:39.618582
52,City of Montebello,2146,3334,3302,46,71,58,64375,2020-09-08 01:36:39.618582
53,City of Monterey Park,914,1468,1409,43,69,33,62262,2020-09-08 01:36:39.618582
54,City of Norwalk,3061,2844,2771,70,65,64,107622,2020-09-08 01:36:39.618582
55,City of Palmdale,3747,2357,2385,64,40,50,158968,2020-09-08 01:36:39.618582
56,City of Palos Verdes Estates,89,658,619,2,15,7,13522,2020-09-08 01:36:39.618582
57,City of Paramount,2254,4023,3970,28,50,66,56023,2020-09-08 01:36:39.618582
58,City of Pico Rivera,2274,3537,3452,70,109,92,64284,2020-09-08 01:36:39.618582
59,City of Pomona,5143,3298,3272,112,72,88,155931,2020-09-08 01:36:39.618582
60,City of Rancho Palos Verdes,274,641,660,13,30,13,42747,2020-09-08 01:36:39.618582
61,City of Redondo Beach,525,764,797,9,13,14,68697,2020-09-08 01:36:39.618582
62,City of Rolling Hills,9,464,622,0,0,0,1940,2020-09-08 01:36:39.618582
63,City of Rolling Hills Estates,40,493,612,2,25,13,8113,2020-09-08 01:36:39.618582
64,City of Rosemead,785,1418,1385,25,45,34,55350,2020-09-08 01:36:39.618582
65,City of San Dimas,485,1405,1401,14,41,31,34516,2020-09-08 01:36:39.618582
66,City of San Fernando,841,3417,3387,18,73,90,24612,2020-09-08 01:36:39.618582
67,City of San Gabriel,595,1453,1323,54,132,91,40954,2020-09-08 01:36:39.618582
68,City of San Marino,83,625,536,2,15,9,13277,2020-09-08 01:36:39.618582
69,City of Santa Clarita,3090,1402,1413,44,20,22,220424,2020-09-08 01:36:39.618582
70,City of Santa Fe Springs,519,2826,2821,4,22,20,18364,2020-09-08 01:36:39.618582
71,City of Santa Monica,816,883,834,43,47,33,92446,2020-09-08 01:36:39.618582
72,City of Sierra Madre,68,619,571,3,27,17,10989,2020-09-08 01:36:39.618582
73,City of Signal Hill,257,2179,2210,2,17,18,11797,2020-09-08 01:36:39.618582
74,City of South El Monte,762,3649,3633,14,67,75,20885,2020-09-08 01:36:39.618582
75,City of South Gate,4173,4251,4188,66,67,86,98155,2020-09-08 01:36:39.618582
76,City of South Pasadena,255,979,923,26,100,81,26053,2020-09-08 01:36:39.618582
77,City of Temple City,500,1372,1251,40,110,70,36455,2020-09-08 01:36:39.618582
78,City of Torrance,1336,895,872,68,46,33,149268,2020-09-08 01:36:39.618582
79,City of Vernon,10,4785,5018,0,0,0,209,2020-09-08 01:36:39.618582
80,City of Walnut,249,816,834,3,10,6,30532,2020-09-08 01:36:39.618582
81,City of West Covina,2684,2480,2426,58,54,46,108235,2020-09-08 01:36:39.618582
82,City of West Hollywood,512,1386,1291,5,14,9,36951,2020-09-08 01:36:39.618582
83,City of Westlake Village,29,347,397,0,0,0,8360,2020-09-08 01:36:39.618582
84,City of Whittier,2095,2396,2355,29,33,31,87432,2020-09-08 01:36:39.618582
85,Los Angeles - Adams-Normandie,258,3146,3098,4,49,48,8202,2020-09-08 01:36:39.618582
86,Los Angeles - Alsace,348,2796,2679,3,24,34,12445,2020-09-08 01:36:39.618582
87,Los Angeles - Angeles National Forest,2,5000,1576,0,0,0,40,2020-09-08 01:36:39.618582
88,Los Angeles - Angelino Heights,68,2718,2741,1,40,38,2502,2020-09-08 01:36:39.618582
89,Los Angeles - Arleta,1351,3931,3838,25,73,84,34370,2020-09-08 01:36:39.618582
90,Los Angeles - Atwater Village,223,1521,1478,6,41,32,14666,2020-09-08 01:36:39.618582
91,Los Angeles - Baldwin Hills,591,1899,1903,26,84,66,31125,2020-09-08 01:36:39.618582
92,Los Angeles - Bel Air,77,914,948,0,0,0,8429,2020-09-08 01:36:39.618582
93,Los Angeles - Beverly Crest,109,870,995,2,16,9,12525,2020-09-08 01:36:39.618582
94,Los Angeles - Beverlywood,145,1101,1161,0,0,0,13173,2020-09-08 01:36:39.618582
95,Los Angeles - Boyle Heights,4068,4682,4664,61,70,82,86884,2020-09-08 01:36:39.618582
96,Los Angeles - Brentwood,270,872,823,3,10,7,30955,2020-09-08 01:36:39.618582
97,Los Angeles - Brookside,3,516,485,0,0,0,581,2020-09-08 01:36:39.618582
98,Los Angeles - Cadillac-Corning,118,1657,1619,1,14,27,7121,2020-09-08 01:36:39.618582
99,Los Angeles - Canoga Park,1753,2685,2662,56,86,109,65289,2020-09-08 01:36:39.618582
100,Los Angeles - Carthay,200,1392,1813,14,97,46,14363,2020-09-08 01:36:39.618582
101,Los Angeles - Central,2052,5263,5344,41,105,153,38992,2020-09-08 01:36:39.618582
102,Los Angeles - Century City,111,868,1007,0,0,0,12792,2020-09-08 01:36:39.618582
103,Los Angeles - Century Palms/Cove,1435,4250,4340,19,56,78,33766,2020-09-08 01:36:39.618582
104,Los Angeles - Chatsworth,618,1668,1669,35,94,61,37061,2020-09-08 01:36:39.618582
105,Los Angeles - Cheviot Hills,64,698,797,2,22,10,9171,2020-09-08 01:36:39.618582
106,Los Angeles - Chinatown,110,1371,1353,3,37,23,8021,2020-09-08 01:36:39.618582
107,Los Angeles - Cloverdale/Cochran,283,1945,1870,5,34,37,14553,2020-09-08 01:36:39.618582
108,Los Angeles - Country Club Park,282,1861,1725,22,145,108,15153,2020-09-08 01:36:39.618582
109,Los Angeles - Crenshaw District,285,2061,2070,3,22,14,13829,2020-09-08 01:36:39.618582
110,Los Angeles - Crestview,182,1601,1571,20,176,158,11368,2020-09-08 01:36:39.618582
111,Los Angeles - Del Rey,330,1102,1100,9,30,23,29936,2020-09-08 01:36:39.618582
112,Los Angeles - Downtown,744,2705,2794,13,47,38,27507,2020-09-08 01:36:39.618582
113,Los Angeles - Eagle Rock,619,1564,1503,20,51,35,39589,2020-09-08 01:36:39.618582
114,Los Angeles - East Hollywood,578,1974,1833,43,147,126,29287,2020-09-08 01:36:39.618582
115,Los Angeles - Echo Park,221,1550,1530,4,28,27,14256,2020-09-08 01:36:39.618582
116,Los Angeles - El Sereno,1152,2755,2706,31,74,71,41808,2020-09-08 01:36:39.618582
117,Los Angeles - Elysian Park,92,1611,1515,0,0,0,5712,2020-09-08 01:36:39.618582
118,Los Angeles - Elysian Valley,249,2448,2380,3,30,27,10171,2020-09-08 01:36:39.618582
119,Los Angeles - Encino,521,1153,1210,18,40,20,45172,2020-09-08 01:36:39.618582
120,Los Angeles - Exposition,75,2255,2128,1,30,29,3326,2020-09-08 01:36:39.618582
121,Los Angeles - Exposition Park,1250,2783,2825,21,47,64,44917,2020-09-08 01:36:39.618582
122,Los Angeles - Faircrest Heights,30,833,754,2,56,46,3600,2020-09-08 01:36:39.618582
123,Los Angeles - Figueroa Park Square,309,3543,3528,4,46,46,8721,2020-09-08 01:36:39.618582
124,Los Angeles - Florence-Firestone,2161,4555,4601,26,55,81,47445,2020-09-08 01:36:39.618582
125,Los Angeles - Glassell Park,643,2035,1977,13,41,34,31604,2020-09-08 01:36:39.618582
126,Los Angeles - Gramercy Place,226,2100,2159,4,37,24,10764,2020-09-08 01:36:39.618582
127,Los Angeles - Granada Hills,1094,1880,1782,63,108,78,58191,2020-09-08 01:36:39.618582
128,Los Angeles - Green Meadows,899,4180,4210,11,51,68,21505,2020-09-08 01:36:39.618582
129,Los Angeles - Hancock Park,207,1215,1256,3,18,17,17039,2020-09-08 01:36:39.618582
130,Los Angeles - Harbor City,464,1596,1585,10,34,27,29070,2020-09-08 01:36:39.618582
131,Los Angeles - Harbor Gateway,932,2138,2088,13,30,33,43600,2020-09-08 01:36:39.618582
132,Los Angeles - Harbor Pines,18,747,850,0,0,0,2409,2020-09-08 01:36:39.618582
133,Los Angeles - Harvard Heights,536,2972,2904,23,128,150,18035,2020-09-08 01:36:39.618582
134,Los Angeles - Harvard Park,1531,4036,3997,20,53,57,37935,2020-09-08 01:36:39.618582
135,Los Angeles - Highland Park,1032,2133,2087,19,39,43,48391,2020-09-08 01:36:39.618582
136,Los Angeles - Historic Filipinotown,413,2978,2778,14,101,91,13870,2020-09-08 01:36:39.618582
137,Los Angeles - Hollywood,1102,1615,1463,13,19,21,68254,2020-09-08 01:36:39.618582
138,Los Angeles - Hollywood Hills,267,907,1015,7,24,22,29434,2020-09-08 01:36:39.618582
139,Los Angeles - Hyde Park,755,2645,2600,14,49,41,28541,2020-09-08 01:36:39.618582
140,Los Angeles - Jefferson Park,245,3035,3014,0,0,0,8073,2020-09-08 01:36:39.618582
141,Los Angeles - Koreatown,1098,2124,2062,28,54,53,51693,2020-09-08 01:36:39.618582
142,Los Angeles - Lafayette Square,79,1733,1701,3,66,64,4559,2020-09-08 01:36:39.618582
143,Los Angeles - Lake Balboa,939,2225,2217,19,45,48,42206,2020-09-08 01:36:39.618582
144,Los Angeles - Lakeview Terrace,513,3906,3879,22,168,190,13133,2020-09-08 01:36:39.618582
145,Los Angeles - Leimert Park,285,1871,1847,8,53,36,15235,2020-09-08 01:36:39.618582
146,Los Angeles - Lincoln Heights,1013,3108,3036,47,144,122,32597,2020-09-08 01:36:39.618582
147,Los Angeles - Little Armenia,381,4748,4103,51,636,517,8025,2020-09-08 01:36:39.618582
148,Los Angeles - Little Bangladesh,465,1641,1633,5,18,19,28343,2020-09-08 01:36:39.618582
149,Los Angeles - Little Tokyo,70,2234,2856,2,64,21,3133,2020-09-08 01:36:39.618582
150,Los Angeles - Longwood,108,2509,2430,0,0,0,4304,2020-09-08 01:36:39.618582
151,Los Angeles - Los Feliz,189,875,934,2,9,6,21608,2020-09-08 01:36:39.618582
152,Los Angeles - Manchester Square,189,2214,2221,4,47,35,8536,2020-09-08 01:36:39.618582
153,Los Angeles - Mandeville Canyon,22,704,975,0,0,0,3124,2020-09-08 01:36:39.618582
154,Los Angeles - Mar Vista,298,702,713,6,14,12,42471,2020-09-08 01:36:39.618582
155,Los Angeles - Marina Peninsula,31,711,744,0,0,0,4360,2020-09-08 01:36:39.618582
156,Los Angeles - Melrose,1793,2308,2267,69,89,90,77696,2020-09-08 01:36:39.618582
157,Los Angeles - Mid-city,269,1790,1747,24,160,145,15030,2020-09-08 01:36:39.618582
158,Los Angeles - Miracle Mile,159,884,835,6,33,33,17985,2020-09-08 01:36:39.618582
159,Los Angeles - Mission Hills,707,2931,2815,27,112,93,24124,2020-09-08 01:36:39.618582
160,Los Angeles - Mt. Washington,517,2141,2095,15,62,57,24145,2020-09-08 01:36:39.618582
161,Los Angeles - North Hills,1692,2748,2703,44,71,81,61575,2020-09-08 01:36:39.618582
162,Los Angeles - North Hollywood,3466,2289,2196,63,42,47,151421,2020-09-08 01:36:39.618582
163,Los Angeles - Northridge,1299,1861,1814,42,60,49,69797,2020-09-08 01:36:39.618582
164,Los Angeles - Pacific Palisades,117,550,626,4,19,9,21291,2020-09-08 01:36:39.618582
165,Los Angeles - Pacoima,3181,4132,4130,43,56,75,76979,2020-09-08 01:36:39.618582
166,Los Angeles - Palisades Highlands,23,598,702,0,0,0,3846,2020-09-08 01:36:39.618582
167,Los Angeles - Palms,513,1169,1291,29,66,89,43877,2020-09-08 01:36:39.618582
168,Los Angeles - Panorama City,2693,3579,3592,87,116,154,75250,2020-09-08 01:36:39.618582
169,Los Angeles - Park La Brea,96,707,601,1,7,8,13580,2020-09-08 01:36:39.618582
170,Los Angeles - Pico-Union,1707,4080,4094,91,217,256,41842,2020-09-08 01:36:39.618582
171,Los Angeles - Playa Del Rey,27,845,1087,0,0,0,3196,2020-09-08 01:36:39.618582
172,Los Angeles - Playa Vista,131,1197,1223,0,0,0,10947,2020-09-08 01:36:39.618582
173,Los Angeles - Porter Ranch,336,944,1006,6,17,10,35588,2020-09-08 01:36:39.618582
174,Los Angeles - Rancho Park,83,1265,1454,1,15,11,6560,2020-09-08 01:36:39.618582
175,Los Angeles - Regent Square,27,971,949,0,0,0,2780,2020-09-08 01:36:39.618582
176,Los Angeles - Reseda,2020,2636,2560,76,99,91,76617,2020-09-08 01:36:39.618582
177,Los Angeles - Reseda Ranch,108,2330,2198,0,0,0,4636,2020-09-08 01:36:39.618582
178,Los Angeles - Reynier Village,39,922,987,0,0,0,4228,2020-09-08 01:36:39.618582
179,Los Angeles - San Pedro,1872,2399,2392,26,33,31,78038,2020-09-08 01:36:39.618582
180,Los Angeles - Shadow Hills,57,1283,1475,0,0,0,4442,2020-09-08 01:36:39.618582
181,Los Angeles - Sherman Oaks,971,1113,1189,24,28,23,87254,2020-09-08 01:36:39.618582
182,Los Angeles - Silverlake,593,1345,1351,17,39,34,44083,2020-09-08 01:36:39.618582
183,Los Angeles - South Carthay,107,1010,1210,2,19,12,10595,2020-09-08 01:36:39.618582
184,Los Angeles - South Park,1940,5111,5177,27,71,107,37961,2020-09-08 01:36:39.618582
185,Los Angeles - St Elmo Village,134,2923,3114,8,175,264,4584,2020-09-08 01:36:39.618582
186,Los Angeles - Studio City,230,1025,1143,11,49,42,22440,2020-09-08 01:36:39.618582
187,Los Angeles - Sun Valley,1467,2795,2727,26,50,50,52483,2020-09-08 01:36:39.618582
188,Los Angeles - Sunland,418,2048,1957,28,137,97,20408,2020-09-08 01:36:39.618582
189,Los Angeles - Sycamore Square,5,773,783,0,0,0,647,2020-09-08 01:36:39.618582
190,Los Angeles - Sylmar,3034,3682,3652,79,96,116,82398,2020-09-08 01:36:39.618582
191,Los Angeles - Tarzana,578,1872,1736,37,120,75,30876,2020-09-08 01:36:39.618582
192,Los Angeles - Temple-Beaudry,1186,3004,2906,26,66,75,39482,2020-09-08 01:36:39.618582
193,Los Angeles - Thai Town,153,1560,1490,0,0,0,9809,2020-09-08 01:36:39.618582
194,Los Angeles - Toluca Lake,92,1057,1263,0,0,0,8704,2020-09-08 01:36:39.618582
195,Los Angeles - Toluca Terrace,22,1685,1683,1,77,72,1306,2020-09-08 01:36:39.618582
196,Los Angeles - Toluca Woods,18,969,879,0,0,0,1858,2020-09-08 01:36:39.618582
197,Los Angeles - Tujunga,457,1643,1605,14,50,41,27810,2020-09-08 01:36:39.618582
198,Los Angeles - University Hills,50,1458,1442,1,29,19,3429,2020-09-08 01:36:39.618582
199,Los Angeles - University Park,966,3518,3941,19,69,125,27456,2020-09-08 01:36:39.618582
200,Los Angeles - Valley Glen,564,1879,1822,22,73,75,30016,2020-09-08 01:36:39.618582
201,Los Angeles - Valley Village,471,1905,1869,25,101,85,24720,2020-09-08 01:36:39.618582
202,Los Angeles - Van Nuys,2734,2934,2948,75,80,100,93194,2020-09-08 01:36:39.618582
203,Los Angeles - Venice,267,788,1004,3,9,9,33885,2020-09-08 01:36:39.618582
204,Los Angeles - Vermont Knolls,691,4017,3965,13,76,93,17200,2020-09-08 01:36:39.618582
205,Los Angeles - Vermont Square,319,4166,4125,3,39,36,7657,2020-09-08 01:36:39.618582
206,Los Angeles - Vermont Vista,1809,4392,4489,24,58,87,41186,2020-09-08 01:36:39.618582
207,Los Angeles - Vernon Central,2835,5452,5563,39,75,111,51998,2020-09-08 01:36:39.618582
208,Los Angeles - Victoria Park,205,2441,2364,4,48,41,8399,2020-09-08 01:36:39.618582
209,Los Angeles - View Heights,43,1164,1158,2,54,42,3694,2020-09-08 01:36:39.618582
210,Los Angeles - Watts,1844,4321,4520,24,56,99,42674,2020-09-08 01:36:39.618582
211,Los Angeles - Wellington Square,116,2360,2350,0,0,0,4915,2020-09-08 01:36:39.618582
212,Los Angeles - West Adams,840,3040,2975,38,138,138,27630,2020-09-08 01:36:39.618582
213,Los Angeles - West Hills,488,1204,1227,30,74,45,40545,2020-09-08 01:36:39.618582
214,Los Angeles - West Los Angeles,475,1262,1261,16,43,44,37636,2020-09-08 01:36:39.618582
215,Los Angeles - West Vernon,2187,4077,4069,45,84,108,53644,2020-09-08 01:36:39.618582
216,Los Angeles - Westchester,396,767,723,15,29,26,51603,2020-09-08 01:36:39.618582
217,Los Angeles - Westlake,2293,3863,3922,139,234,272,59355,2020-09-08 01:36:39.618582
218,Los Angeles - Westwood,333,615,569,6,11,10,54109,2020-09-08 01:36:39.618582
219,Los Angeles - Wholesale District,2273,6291,5466,26,72,90,36129,2020-09-08 01:36:39.618582
220,Los Angeles - Wilmington,1666,2949,2944,16,28,38,56487,2020-09-08 01:36:39.618582
221,Los Angeles - Wilshire Center,1054,2101,2044,33,66,65,50170,2020-09-08 01:36:39.618582
222,Los Angeles - Winnetka,1148,2217,2123,17,33,31,51786,2020-09-08 01:36:39.618582
223,Los Angeles - Woodland Hills,823,1209,1196,29,43,27,68055,2020-09-08 01:36:39.618582
224,Unincorporated - Acton,65,815,889,2,25,18,7971,2020-09-08 01:36:39.618582
225,Unincorporated - Agua Dulce,25,601,648,0,0,0,4158,2020-09-08 01:36:39.618582
226,Unincorporated - Altadena,653,1497,1544,13,30,23,43620,2020-09-08 01:36:39.618582
227,Unincorporated - Anaverde,13,862,1013,0,0,0,1508,2020-09-08 01:36:39.618582
228,Unincorporated - Angeles National Forest,5,402,411,0,0,0,1245,2020-09-08 01:36:39.618582
229,Unincorporated - Arcadia,84,1052,1074,3,38,26,7981,2020-09-08 01:36:39.618582
230,Unincorporated - Athens Village,216,4411,4450,10,204,209,4897,2020-09-08 01:36:39.618582
231,Unincorporated - Athens-Westmont,1462,3445,3466,25,59,64,42442,2020-09-08 01:36:39.618582
232,Unincorporated - Avocado Heights,268,3956,3898,2,30,34,6775,2020-09-08 01:36:39.618582
233,Unincorporated - Azusa,460,2889,2801,3,19,26,15923,2020-09-08 01:36:39.618582
234,Unincorporated - Bassett,603,4070,4018,9,61,63,14817,2020-09-08 01:36:39.618582
235,Unincorporated - Bouquet Canyon,6,559,800,1,93,82,1073,2020-09-08 01:36:39.618582
236,Unincorporated - Bradbury,4,3704,303,1,926,255,108,2020-09-08 01:36:39.618582
237,Unincorporated - Canyon Country,118,1527,1607,0,0,0,7728,2020-09-08 01:36:39.618582
238,Unincorporated - Castaic,1912,7032,6421,4,15,14,27191,2020-09-08 01:36:39.618582
239,Unincorporated - Cerritos,16,2726,2763,0,0,0,587,2020-09-08 01:36:39.618582
240,Unincorporated - Claremont,22,3134,4106,1,142,73,702,2020-09-08 01:36:39.618582
241,Unincorporated - Covina,400,2378,2288,6,36,33,16819,2020-09-08 01:36:39.618582
242,Unincorporated - Covina (Charter Oak),287,2184,2176,1,8,10,13144,2020-09-08 01:36:39.618582
243,Unincorporated - Del Aire,71,1616,1597,2,46,44,4393,2020-09-08 01:36:39.618582
244,Unincorporated - Del Rey,3,943,1312,0,0,0,318,2020-09-08 01:36:39.618582
245,Unincorporated - Del Sur,11,455,527,1,41,20,2415,2020-09-08 01:36:39.618582
246,Unincorporated - Desert View Highlands,44,1765,1651,1,40,24,2493,2020-09-08 01:36:39.618582
247,Unincorporated - Duarte,132,2981,2956,4,90,114,4428,2020-09-08 01:36:39.618582
248,Unincorporated - East Covina,4,1216,1379,0,0,0,329,2020-09-08 01:36:39.618582
249,Unincorporated - East La Mirada,97,1833,1820,0,0,0,5292,2020-09-08 01:36:39.618582
250,Unincorporated - East Los Angeles,5889,4701,4705,95,76,88,125269,2020-09-08 01:36:39.618582
251,Unincorporated - East Pasadena,76,1187,1129,1,16,9,6403,2020-09-08 01:36:39.618582
252,Unincorporated - East Rancho Dominguez,633,4135,4116,13,85,103,15308,2020-09-08 01:36:39.618582
253,Unincorporated - East Whittier,78,1470,1445,0,0,0,5306,2020-09-08 01:36:39.618582
254,Unincorporated - El Camino Village,143,1627,1625,3,34,24,8791,2020-09-08 01:36:39.618582
255,Unincorporated - El Monte,6,4138,6520,0,0,0,145,2020-09-08 01:36:39.618582
256,Unincorporated - Elizabeth Lake,6,361,406,0,0,0,1661,2020-09-08 01:36:39.618582
257,Unincorporated - Florence-Firestone,3240,5007,5071,43,66,84,64705,2020-09-08 01:36:39.618582
258,Unincorporated - Glendora,12,1818,2094,0,0,0,660,2020-09-08 01:36:39.618582
259,Unincorporated - Hacienda Heights,957,1711,1697,14,25,16,55926,2020-09-08 01:36:39.618582
260,Unincorporated - Hawthorne,58,2307,2203,0,0,0,2514,2020-09-08 01:36:39.618582
261,Unincorporated - Hi Vista,7,638,665,0,0,0,1098,2020-09-08 01:36:39.618582
262,Unincorporated - Kagel/Lopez Canyons,32,2266,2735,1,71,113,1412,2020-09-08 01:36:39.618582
263,Unincorporated - La Crescenta-Montrose,176,889,931,2,10,5,19801,2020-09-08 01:36:39.618582
264,Unincorporated - La Rambla,77,3711,3016,12,578,381,2075,2020-09-08 01:36:39.618582
265,Unincorporated - La Verne,33,1618,1976,0,0,0,2040,2020-09-08 01:36:39.618582
266,Unincorporated - Ladera Heights,91,1287,1244,3,42,19,7071,2020-09-08 01:36:39.618582
267,Unincorporated - Lake Hughes,2,299,328,0,0,0,668,2020-09-08 01:36:39.618582
268,Unincorporated - Lake Los Angeles,199,1531,1525,4,31,44,12994,2020-09-08 01:36:39.618582
269,Unincorporated - Lake Manor,24,1461,1547,0,0,0,1643,2020-09-08 01:36:39.618582
270,Unincorporated - Lennox,664,2946,2931,6,27,49,22542,2020-09-08 01:36:39.618582
271,Unincorporated - Leona Valley,17,971,999,0,0,0,1751,2020-09-08 01:36:39.618582
272,Unincorporated - Littlerock,80,1990,2050,0,0,0,4021,2020-09-08 01:36:39.618582
273,Unincorporated - Littlerock/Juniper Hills,8,617,852,0,0,0,1297,2020-09-08 01:36:39.618582
274,Unincorporated - Littlerock/Pearblossom,81,2270,2380,0,0,0,3569,2020-09-08 01:36:39.618582
275,Unincorporated - Llano,3,342,355,0,0,0,877,2020-09-08 01:36:39.618582
276,Unincorporated - Marina del Rey,67,712,546,1,11,13,9411,2020-09-08 01:36:39.618582
277,Unincorporated - Monrovia,77,1984,2066,0,0,0,3881,2020-09-08 01:36:39.618582
278,Unincorporated - Newhall,6,2727,2283,0,0,0,220,2020-09-08 01:36:39.618582
279,Unincorporated - North Lancaster,18,1502,1967,0,0,0,1198,2020-09-08 01:36:39.618582
280,Unincorporated - North Whittier,194,2321,2294,10,120,104,8360,2020-09-08 01:36:39.618582
281,Unincorporated - Northeast San Gabriel,319,1327,1372,8,33,29,24036,2020-09-08 01:36:39.618582
282,Unincorporated - Palmdale,21,2494,2719,0,0,0,842,2020-09-08 01:36:39.618582
283,Unincorporated - Palos Verdes Peninsula,3,483,729,0,0,0,621,2020-09-08 01:36:39.618582
284,Unincorporated - Pearblossom/Llano,21,1074,1002,1,51,20,1956,2020-09-08 01:36:39.618582
285,Unincorporated - Pellissier Village,26,4200,4126,0,0,0,619,2020-09-08 01:36:39.618582
286,Unincorporated - Pomona,15,774,1941,1,52,86,1938,2020-09-08 01:36:39.618582
287,Unincorporated - Quartz Hill,154,1193,1121,11,85,63,12906,2020-09-08 01:36:39.618582
288,Unincorporated - Rancho Dominguez,70,2631,2578,2,75,35,2661,2020-09-08 01:36:39.618582
289,Unincorporated - Roosevelt,8,859,819,0,0,0,931,2020-09-08 01:36:39.618582
290,Unincorporated - Rosewood,26,2022,2383,0,0,0,1286,2020-09-08 01:36:39.618582
291,Unincorporated - Rosewood/East Gardena,15,1257,1116,1,84,40,1193,2020-09-08 01:36:39.618582
292,Unincorporated - Rosewood/West Rancho Dominguez,93,2767,2804,0,0,0,3361,2020-09-08 01:36:39.618582
