,City/Community,Cases,Case Rate,Adjusted Case Rate,Deaths,Death Rate,Adjusted Death Rate,Population,timestamp
81,City of West Covina,2584,2387,2337,54,50,43,108235,2020-08-30 22:49:32.767872
82,City of West Hollywood,497,1345,1232,5,14,9,36951,2020-08-30 22:49:32.767872
83,City of Westlake Village,28,335,383,0,0,0,8360,2020-08-30 22:49:32.767872
84,City of Whittier,2007,2296,2254,26,30,28,87432,2020-08-30 22:49:32.767872
85,Los Angeles - Adams-Normandie,248,3024,2980,4,49,48,8202,2020-08-30 22:49:32.767872
86,Los Angeles - Alsace,333,2676,2568,2,16,24,12445,2020-08-30 22:49:32.767872
87,Los Angeles - Angeles National Forest,2,5000,1576,0,0,0,40,2020-08-30 22:49:32.767872
88,Los Angeles - Angelino Heights,67,2678,2687,1,40,38,2502,2020-08-30 22:49:32.767872
89,Los Angeles - Arleta,1294,3765,3674,24,70,80,34370,2020-08-30 22:49:32.767872
90,Los Angeles - Atwater Village,217,1480,1438,5,34,27,14666,2020-08-30 22:49:32.767872
91,Los Angeles - Baldwin Hills,564,1812,1812,26,84,66,31125,2020-08-30 22:49:32.767872
92,Los Angeles - Bel Air,76,902,937,0,0,0,8429,2020-08-30 22:49:32.767872
93,Los Angeles - Beverly Crest,104,830,963,2,16,9,12525,2020-08-30 22:49:32.767872
94,Los Angeles - Beverlywood,137,1040,1096,0,0,0,13173,2020-08-30 22:49:32.767872
95,Los Angeles - Boyle Heights,4020,4627,4612,60,69,81,86884,2020-08-30 22:49:32.767872
96,Los Angeles - Brentwood,260,840,795,3,10,7,30955,2020-08-30 22:49:32.767872
97,Los Angeles - Brookside,3,516,485,0,0,0,581,2020-08-30 22:49:32.767872
98,Los Angeles - Cadillac-Corning,111,1559,1512,1,14,27,7121,2020-08-30 22:49:32.767872
99,Los Angeles - Canoga Park,1684,2579,2556,53,81,104,65289,2020-08-30 22:49:32.767872
100,Los Angeles - Carthay,196,1365,1709,14,97,46,14363,2020-08-30 22:49:32.767872
101,Los Angeles - Central,1996,5119,5191,40,103,148,38992,2020-08-30 22:49:32.767872
102,Los Angeles - Century City,109,852,995,0,0,0,12792,2020-08-30 22:49:32.767872
103,Los Angeles - Century Palms/Cove,1394,4128,4219,18,53,74,33766,2020-08-30 22:49:32.767872
104,Los Angeles - Chatsworth,597,1611,1598,34,92,58,37061,2020-08-30 22:49:32.767872
105,Los Angeles - Cheviot Hills,62,676,777,2,22,10,9171,2020-08-30 22:49:32.767872
106,Los Angeles - Chinatown,109,1359,1342,3,37,23,8021,2020-08-30 22:49:32.767872
107,Los Angeles - Cloverdale/Cochran,277,1903,1827,5,34,37,14553,2020-08-30 22:49:32.767872
108,Los Angeles - Country Club Park,274,1808,1677,22,145,108,15153,2020-08-30 22:49:32.767872
109,Los Angeles - Crenshaw District,277,2003,2023,3,22,14,13829,2020-08-30 22:49:32.767872
110,Los Angeles - Crestview,177,1557,1524,20,176,158,11368,2020-08-30 22:49:32.767872
111,Los Angeles - Del Rey,325,1086,1086,9,30,23,29936,2020-08-30 22:49:32.767872
112,Los Angeles - Downtown,693,2519,2567,13,47,38,27507,2020-08-30 22:49:32.767872
113,Los Angeles - Eagle Rock,604,1526,1471,18,45,31,39589,2020-08-30 22:49:32.767872
114,Los Angeles - East Hollywood,555,1895,1760,43,147,126,29287,2020-08-30 22:49:32.767872
115,Los Angeles - Echo Park,217,1522,1506,4,28,27,14256,2020-08-30 22:49:32.767872
116,Los Angeles - El Sereno,1115,2667,2619,31,74,71,41808,2020-08-30 22:49:32.767872
117,Los Angeles - Elysian Park,87,1523,1440,0,0,0,5712,2020-08-30 22:49:32.767872
118,Los Angeles - Elysian Valley,240,2360,2298,3,30,27,10171,2020-08-30 22:49:32.767872
119,Los Angeles - Encino,502,1111,1166,17,38,19,45172,2020-08-30 22:49:32.767872
120,Los Angeles - Exposition,74,2225,2093,1,30,29,3326,2020-08-30 22:49:32.767872
121,Los Angeles - Exposition Park,1214,2703,2746,21,47,64,44917,2020-08-30 22:49:32.767872
122,Los Angeles - Faircrest Heights,29,806,733,2,56,46,3600,2020-08-30 22:49:32.767872
123,Los Angeles - Figueroa Park Square,299,3429,3406,4,46,46,8721,2020-08-30 22:49:32.767872
124,Los Angeles - Florence-Firestone,2111,4449,4490,25,53,78,47445,2020-08-30 22:49:32.767872
125,Los Angeles - Glassell Park,624,1974,1919,13,41,34,31604,2020-08-30 22:49:32.767872
126,Los Angeles - Gramercy Place,221,2053,2094,4,37,24,10764,2020-08-30 22:49:32.767872
127,Los Angeles - Granada Hills,1052,1808,1710,62,107,77,58191,2020-08-30 22:49:32.767872
128,Los Angeles - Green Meadows,882,4101,4135,11,51,68,21505,2020-08-30 22:49:32.767872
129,Los Angeles - Hancock Park,197,1156,1189,3,18,17,17039,2020-08-30 22:49:32.767872
130,Los Angeles - Harbor City,448,1541,1531,10,34,27,29070,2020-08-30 22:49:32.767872
131,Los Angeles - Harbor Gateway,911,2089,2040,13,30,33,43600,2020-08-30 22:49:32.767872
132,Los Angeles - Harbor Pines,18,747,850,0,0,0,2409,2020-08-30 22:49:32.767872
133,Los Angeles - Harvard Heights,524,2905,2841,23,128,150,18035,2020-08-30 22:49:32.767872
134,Los Angeles - Harvard Park,1490,3928,3888,18,47,52,37935,2020-08-30 22:49:32.767872
135,Los Angeles - Highland Park,1000,2066,2024,19,39,43,48391,2020-08-30 22:49:32.767872
136,Los Angeles - Historic Filipinotown,400,2884,2697,14,101,91,13870,2020-08-30 22:49:32.767872
137,Los Angeles - Hollywood,1059,1552,1406,12,18,19,68254,2020-08-30 22:49:32.767872
138,Los Angeles - Hollywood Hills,252,856,946,7,24,22,29434,2020-08-30 22:49:32.767872
139,Los Angeles - Hyde Park,736,2579,2536,14,49,41,28541,2020-08-30 22:49:32.767872
140,Los Angeles - Jefferson Park,233,2886,2860,0,0,0,8073,2020-08-30 22:49:32.767872
141,Los Angeles - Koreatown,1062,2054,1987,27,52,51,51693,2020-08-30 22:49:32.767872
142,Los Angeles - Lafayette Square,78,1711,1673,3,66,64,4559,2020-08-30 22:49:32.767872
143,Los Angeles - Lake Balboa,896,2123,2115,18,43,47,42206,2020-08-30 22:49:32.767872
144,Los Angeles - Lakeview Terrace,504,3838,3819,21,160,184,13133,2020-08-30 22:49:32.767872
145,Los Angeles - Leimert Park,274,1798,1782,7,46,32,15235,2020-08-30 22:49:32.767872
146,Los Angeles - Lincoln Heights,979,3003,2938,46,141,120,32597,2020-08-30 22:49:32.767872
147,Los Angeles - Little Armenia,373,4648,4008,51,636,517,8025,2020-08-30 22:49:32.767872
148,Los Angeles - Little Bangladesh,450,1588,1584,5,18,19,28343,2020-08-30 22:49:32.767872
149,Los Angeles - Little Tokyo,59,1883,2240,2,64,21,3133,2020-08-30 22:49:32.767872
150,Los Angeles - Longwood,108,2509,2430,0,0,0,4304,2020-08-30 22:49:32.767872
151,Los Angeles - Los Feliz,180,833,875,2,9,6,21608,2020-08-30 22:49:32.767872
152,Los Angeles - Manchester Square,179,2097,2091,3,35,27,8536,2020-08-30 22:49:32.767872
153,Los Angeles - Mandeville Canyon,20,640,928,0,0,0,3124,2020-08-30 22:49:32.767872
154,Los Angeles - Mar Vista,290,683,695,5,12,9,42471,2020-08-30 22:49:32.767872
155,Los Angeles - Marina Peninsula,30,688,733,0,0,0,4360,2020-08-30 22:49:32.767872
156,Los Angeles - Melrose,1741,2241,2200,67,86,88,77696,2020-08-30 22:49:32.767872
157,Los Angeles - Mid-city,263,1750,1714,23,153,139,15030,2020-08-30 22:49:32.767872
158,Los Angeles - Miracle Mile,153,851,792,6,33,33,17985,2020-08-30 22:49:32.767872
159,Los Angeles - Mission Hills,661,2740,2641,23,95,82,24124,2020-08-30 22:49:32.767872
160,Los Angeles - Mt. Washington,508,2104,2059,14,58,54,24145,2020-08-30 22:49:32.767872
161,Los Angeles - North Hills,1644,2670,2628,43,70,79,61575,2020-08-30 22:49:32.767872
162,Los Angeles - North Hollywood,3312,2187,2093,58,38,42,151421,2020-08-30 22:49:32.767872
163,Los Angeles - Northridge,1246,1785,1741,41,59,48,69797,2020-08-30 22:49:32.767872
164,Los Angeles - Pacific Palisades,113,531,608,4,19,9,21291,2020-08-30 22:49:32.767872
165,Los Angeles - Pacoima,3070,3988,3985,41,53,71,76979,2020-08-30 22:49:32.767872
166,Los Angeles - Palisades Highlands,21,546,651,0,0,0,3846,2020-08-30 22:49:32.767872
167,Los Angeles - Palms,500,1140,1256,29,66,89,43877,2020-08-30 22:49:32.767872
168,Los Angeles - Panorama City,2589,3441,3452,86,114,151,75250,2020-08-30 22:49:32.767872
169,Los Angeles - Park La Brea,92,677,573,1,7,8,13580,2020-08-30 22:49:32.767872
170,Los Angeles - Pico-Union,1672,3996,4013,88,210,248,41842,2020-08-30 22:49:32.767872
171,Los Angeles - Playa Del Rey,27,845,1087,0,0,0,3196,2020-08-30 22:49:32.767872
172,Los Angeles - Playa Vista,125,1142,1138,0,0,0,10947,2020-08-30 22:49:32.767872
173,Los Angeles - Porter Ranch,326,916,971,6,17,10,35588,2020-08-30 22:49:32.767872
174,Los Angeles - Rancho Park,81,1235,1432,1,15,11,6560,2020-08-30 22:49:32.767872
175,Los Angeles - Regent Square,27,971,949,0,0,0,2780,2020-08-30 22:49:32.767872
176,Los Angeles - Reseda,1950,2545,2469,74,97,87,76617,2020-08-30 22:49:32.767872
177,Los Angeles - Reseda Ranch,106,2286,2156,0,0,0,4636,2020-08-30 22:49:32.767872
178,Los Angeles - Reynier Village,37,875,932,0,0,0,4228,2020-08-30 22:49:32.767872
179,Los Angeles - San Pedro,1838,2355,2344,26,33,31,78038,2020-08-30 22:49:32.767872
180,Los Angeles - Shadow Hills,56,1261,1449,0,0,0,4442,2020-08-30 22:49:32.767872
181,Los Angeles - Sherman Oaks,934,1070,1139,19,22,19,87254,2020-08-30 22:49:32.767872
182,Los Angeles - Silverlake,583,1323,1331,17,39,34,44083,2020-08-30 22:49:32.767872
183,Los Angeles - South Carthay,106,1000,1194,2,19,12,10595,2020-08-30 22:49:32.767872
184,Los Angeles - South Park,1880,4952,5030,27,71,107,37961,2020-08-30 22:49:32.767872
185,Los Angeles - St Elmo Village,130,2836,3028,8,175,264,4584,2020-08-30 22:49:32.767872
186,Los Angeles - Studio City,226,1007,1119,11,49,42,22440,2020-08-30 22:49:32.767872
187,Los Angeles - Sun Valley,1402,2671,2602,22,42,43,52483,2020-08-30 22:49:32.767872
188,Los Angeles - Sunland,406,1989,1897,27,132,94,20408,2020-08-30 22:49:32.767872
189,Los Angeles - Sycamore Square,5,773,783,0,0,0,647,2020-08-30 22:49:32.767872
190,Los Angeles - Sylmar,2930,3556,3530,77,93,113,82398,2020-08-30 22:49:32.767872
191,Los Angeles - Tarzana,559,1810,1670,37,120,75,30876,2020-08-30 22:49:32.767872
192,Los Angeles - Temple-Beaudry,1140,2887,2790,26,66,75,39482,2020-08-30 22:49:32.767872
193,Los Angeles - Thai Town,147,1499,1440,0,0,0,9809,2020-08-30 22:49:32.767872
194,Los Angeles - Toluca Lake,88,1011,1217,0,0,0,8704,2020-08-30 22:49:32.767872
195,Los Angeles - Toluca Terrace,18,1378,1459,1,77,72,1306,2020-08-30 22:49:32.767872
196,Los Angeles - Toluca Woods,18,969,879,0,0,0,1858,2020-08-30 22:49:32.767872
197,Los Angeles - Tujunga,419,1507,1473,14,50,41,27810,2020-08-30 22:49:32.767872
198,Los Angeles - University Hills,50,1458,1463,1,29,19,3429,2020-08-30 22:49:32.767872
199,Los Angeles - University Park,880,3205,3757,19,69,125,27456,2020-08-30 22:49:32.767872
200,Los Angeles - Valley Glen,546,1819,1764,19,63,65,30016,2020-08-30 22:49:32.767872
201,Los Angeles - Valley Village,464,1877,1835,25,101,85,24720,2020-08-30 22:49:32.767872
202,Los Angeles - Van Nuys,2605,2795,2814,72,77,95,93194,2020-08-30 22:49:32.767872
203,Los Angeles - Venice,264,779,992,3,9,9,33885,2020-08-30 22:49:32.767872
204,Los Angeles - Vermont Knolls,670,3895,3839,13,76,93,17200,2020-08-30 22:49:32.767872
205,Los Angeles - Vermont Square,311,4062,4020,3,39,36,7657,2020-08-30 22:49:32.767872
206,Los Angeles - Vermont Vista,1753,4256,4341,24,58,87,41186,2020-08-30 22:49:32.767872
207,Los Angeles - Vernon Central,2777,5341,5453,40,77,117,51998,2020-08-30 22:49:32.767872
208,Los Angeles - Victoria Park,201,2393,2317,3,36,29,8399,2020-08-30 22:49:32.767872
209,Los Angeles - View Heights,42,1137,1121,2,54,42,3694,2020-08-30 22:49:32.767872
210,Los Angeles - Watts,1780,4171,4367,23,54,97,42674,2020-08-30 22:49:32.767872
211,Los Angeles - Wellington Square,110,2238,2232,0,0,0,4915,2020-08-30 22:49:32.767872
212,Los Angeles - West Adams,813,2942,2882,36,130,132,27630,2020-08-30 22:49:32.767872
213,Los Angeles - West Hills,471,1162,1173,30,74,45,40545,2020-08-30 22:49:32.767872
214,Los Angeles - West Los Angeles,466,1238,1234,14,37,40,37636,2020-08-30 22:49:32.767872
215,Los Angeles - West Vernon,2112,3937,3928,44,82,106,53644,2020-08-30 22:49:32.767872
216,Los Angeles - Westchester,382,740,700,15,29,26,51603,2020-08-30 22:49:32.767872
217,Los Angeles - Westlake,2245,3782,3842,138,232,269,59355,2020-08-30 22:49:32.767872
218,Los Angeles - Westwood,318,588,547,6,11,10,54109,2020-08-30 22:49:32.767872
219,Los Angeles - Wholesale District,2217,6136,5330,25,69,87,36129,2020-08-30 22:49:32.767872
220,Los Angeles - Wilmington,1618,2864,2864,15,27,37,56487,2020-08-30 22:49:32.767872
221,Los Angeles - Wilshire Center,1022,2037,1984,33,66,65,50170,2020-08-30 22:49:32.767872
222,Los Angeles - Winnetka,1116,2155,2062,16,31,29,51786,2020-08-30 22:49:32.767872
223,Los Angeles - Woodland Hills,795,1168,1155,27,40,25,68055,2020-08-30 22:49:32.767872
224,Unincorporated - Acton,60,753,844,2,25,18,7971,2020-08-30 22:49:32.767872
225,Unincorporated - Agua Dulce,24,577,631,0,0,0,4158,2020-08-30 22:49:32.767872
226,Unincorporated - Altadena,618,1417,1473,13,30,23,43620,2020-08-30 22:49:32.767872
227,Unincorporated - Anaverde,13,862,1013,0,0,0,1508,2020-08-30 22:49:32.767872
228,Unincorporated - Angeles National Forest,5,402,411,0,0,0,1245,2020-08-30 22:49:32.767872
229,Unincorporated - Arcadia,81,1015,1034,2,25,18,7981,2020-08-30 22:49:32.767872
230,Unincorporated - Athens Village,212,4329,4383,9,184,186,4897,2020-08-30 22:49:32.767872
231,Unincorporated - Athens-Westmont,1407,3315,3330,25,59,64,42442,2020-08-30 22:49:32.767872
232,Unincorporated - Avocado Heights,260,3838,3784,2,30,34,6775,2020-08-30 22:49:32.767872
233,Unincorporated - Azusa,447,2807,2725,2,13,17,15923,2020-08-30 22:49:32.767872
234,Unincorporated - Bassett,580,3914,3862,9,61,63,14817,2020-08-30 22:49:32.767872
235,Unincorporated - Bouquet Canyon,6,559,800,1,93,82,1073,2020-08-30 22:49:32.767872
236,Unincorporated - Bradbury,4,3704,303,1,926,255,108,2020-08-30 22:49:32.767872
237,Unincorporated - Canyon Country,117,1514,1596,0,0,0,7728,2020-08-30 22:49:32.767872
238,Unincorporated - Castaic,1904,7002,6379,5,18,17,27191,2020-08-30 22:49:32.767872
239,Unincorporated - Cerritos,14,2385,2295,0,0,0,587,2020-08-30 22:49:32.767872
240,Unincorporated - Claremont,22,3134,4106,1,142,73,702,2020-08-30 22:49:32.767872
241,Unincorporated - Covina,389,2313,2226,6,36,33,16819,2020-08-30 22:49:32.767872
242,Unincorporated - Covina (Charter Oak),275,2092,2072,1,8,10,13144,2020-08-30 22:49:32.767872
243,Unincorporated - Del Aire,69,1571,1556,2,46,44,4393,2020-08-30 22:49:32.767872
244,Unincorporated - Del Rey,3,943,1312,0,0,0,318,2020-08-30 22:49:32.767872
245,Unincorporated - Del Sur,10,414,474,1,41,20,2415,2020-08-30 22:49:32.767872
246,Unincorporated - Desert View Highlands,42,1685,1596,1,40,24,2493,2020-08-30 22:49:32.767872
247,Unincorporated - Duarte,121,2733,2693,4,90,114,4428,2020-08-30 22:49:32.767872
248,Unincorporated - East Covina,4,1216,1379,0,0,0,329,2020-08-30 22:49:32.767872
249,Unincorporated - East La Mirada,93,1757,1737,0,0,0,5292,2020-08-30 22:49:32.767872
250,Unincorporated - East Los Angeles,5727,4572,4575,91,73,84,125269,2020-08-30 22:49:32.767872
251,Unincorporated - East Pasadena,70,1093,1033,1,16,9,6403,2020-08-30 22:49:32.767872
252,Unincorporated - East Rancho Dominguez,607,3965,3950,10,65,75,15308,2020-08-30 22:49:32.767872
253,Unincorporated - East Whittier,75,1413,1396,0,0,0,5306,2020-08-30 22:49:32.767872
254,Unincorporated - El Camino Village,137,1558,1553,3,34,24,8791,2020-08-30 22:49:32.767872
255,Unincorporated - El Monte,5,3448,5624,0,0,0,145,2020-08-30 22:49:32.767872
256,Unincorporated - Elizabeth Lake,6,361,406,0,0,0,1661,2020-08-30 22:49:32.767872
257,Unincorporated - Florence-Firestone,3166,4893,4944,43,66,84,64705,2020-08-30 22:49:32.767872
258,Unincorporated - Glendora,12,1818,2094,0,0,0,660,2020-08-30 22:49:32.767872
259,Unincorporated - Hacienda Heights,936,1674,1660,12,21,15,55926,2020-08-30 22:49:32.767872
260,Unincorporated - Hawthorne,57,2267,2168,0,0,0,2514,2020-08-30 22:49:32.767872
261,Unincorporated - Hi Vista,6,546,585,0,0,0,1098,2020-08-30 22:49:32.767872
262,Unincorporated - Kagel/Lopez Canyons,30,2125,2673,1,71,113,1412,2020-08-30 22:49:32.767872
263,Unincorporated - La Crescenta-Montrose,158,798,810,2,10,5,19801,2020-08-30 22:49:32.767872
264,Unincorporated - La Rambla,75,3614,2911,12,578,381,2075,2020-08-30 22:49:32.767872
265,Unincorporated - La Verne,33,1618,1976,0,0,0,2040,2020-08-30 22:49:32.767872
266,Unincorporated - Ladera Heights,85,1202,1159,3,42,19,7071,2020-08-30 22:49:32.767872
267,Unincorporated - Lake Hughes,2,299,328,0,0,0,668,2020-08-30 22:49:32.767872
268,Unincorporated - Lake Los Angeles,194,1493,1492,4,31,44,12994,2020-08-30 22:49:32.767872
269,Unincorporated - Lake Manor,24,1461,1547,0,0,0,1643,2020-08-30 22:49:32.767872
270,Unincorporated - Lennox,644,2857,2844,4,18,34,22542,2020-08-30 22:49:32.767872
271,Unincorporated - Leona Valley,17,971,999,0,0,0,1751,2020-08-30 22:49:32.767872
272,Unincorporated - Littlerock,78,1940,2006,0,0,0,4021,2020-08-30 22:49:32.767872
273,Unincorporated - Littlerock/Juniper Hills,8,617,852,0,0,0,1297,2020-08-30 22:49:32.767872
274,Unincorporated - Littlerock/Pearblossom,79,2214,2302,0,0,0,3569,2020-08-30 22:49:32.767872
275,Unincorporated - Llano,3,342,355,0,0,0,877,2020-08-30 22:49:32.767872
276,Unincorporated - Marina del Rey,65,691,533,1,11,13,9411,2020-08-30 22:49:32.767872
277,Unincorporated - Monrovia,74,1907,1987,0,0,0,3881,2020-08-30 22:49:32.767872
278,Unincorporated - Newhall,6,2727,2283,0,0,0,220,2020-08-30 22:49:32.767872
279,Unincorporated - North Lancaster,18,1502,1967,0,0,0,1198,2020-08-30 22:49:32.767872
280,Unincorporated - North Whittier,186,2225,2196,9,108,95,8360,2020-08-30 22:49:32.767872
281,Unincorporated - Northeast San Gabriel,309,1286,1326,8,33,29,24036,2020-08-30 22:49:32.767872
282,Unincorporated - Palmdale,21,2494,2719,0,0,0,842,2020-08-30 22:49:32.767872
283,Unincorporated - Palos Verdes Peninsula,3,483,729,0,0,0,621,2020-08-30 22:49:32.767872
284,Unincorporated - Pearblossom/Llano,19,971,863,1,51,20,1956,2020-08-30 22:49:32.767872
285,Unincorporated - Pellissier Village,25,4039,3983,0,0,0,619,2020-08-30 22:49:32.767872
286,Unincorporated - Pomona,14,722,1842,1,52,86,1938,2020-08-30 22:49:32.767872
287,Unincorporated - Quartz Hill,146,1131,1082,11,85,63,12906,2020-08-30 22:49:32.767872
288,Unincorporated - Rancho Dominguez,71,2668,2618,2,75,35,2661,2020-08-30 22:49:32.767872
289,Unincorporated - Roosevelt,8,859,819,0,0,0,931,2020-08-30 22:49:32.767872
290,Unincorporated - Rosewood,23,1788,2080,0,0,0,1286,2020-08-30 22:49:32.767872
291,Unincorporated - Rosewood/East Gardena,14,1174,1074,1,84,40,1193,2020-08-30 22:49:32.767872
292,Unincorporated - Rosewood/West Rancho Dominguez,88,2618,2672,0,0,0,3361,2020-08-30 22:49:32.767872
293,Unincorporated - Rowland Heights,594,1164,1171,12,24,17,51022,2020-08-30 22:49:32.767872
